environment_id,encryption_code,encryption_type,file_size_kb,average_row_length_bytes,simulated_encryption_time_sec,clear_text_exposure_percent,row_count,column_count,source_file,output_file
ENV-01,1,Unencrypted,61.642578,61.027,0.0,100.0,1000,9,simulated_ENV-01.csv,unencrypted_ENV-01.csv
ENV-02,1,Unencrypted,61.636719,61.021,0.0,100.0,1000,9,simulated_ENV-02.csv,unencrypted_ENV-02.csv
ENV-03,1,Unencrypted,61.633789,61.018,0.0,100.0,1000,9,simulated_ENV-03.csv,unencrypted_ENV-03.csv
ENV-04,1,Unencrypted,61.645508,61.03,0.0,100.0,1000,9,simulated_ENV-04.csv,unencrypted_ENV-04.csv
ENV-05,1,Unencrypted,61.642578,61.027,0.0,100.0,1000,9,simulated_ENV-05.csv,unencrypted_ENV-05.csv
ENV-06,1,Unencrypted,61.634766,61.019,0.0,100.0,1000,9,simulated_ENV-06.csv,unencrypted_ENV-06.csv
ENV-07,1,Unencrypted,61.639648,61.024,0.0,100.0,1000,9,simulated_ENV-07.csv,unencrypted_ENV-07.csv
ENV-08,1,Unencrypted,61.650391,61.035,0.0,100.0,1000,9,simulated_ENV-08.csv,unencrypted_ENV-08.csv
ENV-09,1,Unencrypted,61.638672,61.023,0.0,100.0,1000,9,simulated_ENV-09.csv,unencrypted_ENV-09.csv
ENV-10,1,Unencrypted,61.650391,61.035,0.0,100.0,1000,9,simulated_ENV-10.csv,unencrypted_ENV-10.csv
ENV-11,2,ECC,839.936523,428.0,0.0318127,0.0,2000,9,simulated_ENV-11.csv,ecc_encrypted_ENV-11.csv
ENV-12,2,ECC,1007.905273,428.0,0.0362408,0.0,2400,9,simulated_ENV-12.csv,ecc_encrypted_ENV-12.csv
ENV-13,2,ECC,1259.858398,428.0,0.0468731,0.0,3000,9,simulated_ENV-13.csv,ecc_encrypted_ENV-13.csv
ENV-14,2,ECC,839.936523,428.0,0.0305588,0.0,2000,9,simulated_ENV-14.csv,ecc_encrypted_ENV-14.csv
ENV-15,2,ECC,1259.858398,428.0,0.0445608,0.0,3000,9,simulated_ENV-15.csv,ecc_encrypted_ENV-15.csv
ENV-16,2,ECC,1007.905273,428.0,0.0367848,0.0,2400,9,simulated_ENV-16.csv,ecc_encrypted_ENV-16.csv
ENV-17,2,ECC,1175.874023,428.0,0.0419686,0.0,2800,9,simulated_ENV-17.csv,ecc_encrypted_ENV-17.csv
ENV-18,2,ECC,1091.889648,428.0,0.0395627,0.0,2600,9,simulated_ENV-18.csv,ecc_encrypted_ENV-18.csv
ENV-19,2,ECC,839.936523,428.0,0.0309929,0.0,2000,9,simulated_ENV-19.csv,ecc_encrypted_ENV-19.csv
