Environment,Encryption Type,File Size (KB),Avg Row Length (bytes),Simulated Encryption Time (sec)
ENV-01,None,60.67,53.03,0.0
ENV-02,None,60.66,53.02,0.0
ENV-03,None,60.66,53.02,0.0
ENV-04,None,60.67,53.03,0.0
ENV-05,None,60.67,53.03,0.0
ENV-06,None,60.66,53.02,0.0
ENV-07,None,60.66,53.02,0.0
ENV-08,None,60.67,53.04,0.0
ENV-09,None,60.66,53.02,0.0
ENV-10,None,60.67,53.04,0.0
ENV-11,ECC,512.01,252.1,2.0
ENV-12,ECC,614.74,252.25,2.4
ENV-13,ECC,768.84,252.4,3.0
ENV-14,ECC,512.01,252.1,2.0
ENV-15,ECC,768.84,252.4,3.0
ENV-16,ECC,614.74,252.25,2.4
ENV-17,ECC,717.48,252.36,2.8
ENV-18,ECC,666.11,252.31,2.6
ENV-19,ECC,512.01,252.1,2.0
ENV-20,ECC,768.84,252.4,3.0
ENV-21,ECC,1539.35,252.7,6.0
ENV-22,ECC,2053.02,252.78,8.0
ENV-23,ECC,1796.19,252.74,7.0
ENV-24,ECC,2309.86,252.8,9.0
ENV-25,ECC,2566.69,252.82,10.0
ENV-26,RSA-FHE,427.83,63.0,12.0
ENV-27,RSA-FHE,499.12,63.0,14.0
ENV-28,RSA-FHE,570.41,63.0,16.0
ENV-29,RSA-FHE,712.98,63.0,20.0
ENV-30,RSA-FHE,855.56,63.0,24.0
ENV-31,RSA-FHE,998.14,63.0,28.0
ENV-32,RSA-FHE,1140.72,63.0,32.0
ENV-33,RSA-FHE,1283.3,63.0,36.0
ENV-34,RSA-FHE,1425.87,63.0,40.0
ENV-35,RSA-FHE,855.56,63.0,24.0
ENV-36,RSA-FHE,570.41,63.0,16.0
ENV-37,RSA-FHE,712.98,63.0,20.0
ENV-38,RSA-FHE,784.27,63.0,22.0
ENV-39,RSA-FHE,855.56,63.0,24.0
ENV-40,RSA-FHE,926.85,63.0,26.0
