environment_id,encryption_code,encryption_type,source_file,output_file,row_count,column_count,run_1_sec,run_2_sec,run_3_sec,run_4_sec,run_5_sec,simulated_encryption_time_sec
ENV-11,2,ECC,simulated_ENV-11.csv,ecc_encrypted_ENV-11.csv,2000,9,0.0354895,0.0318986,0.033808,0.0326661,0.0330609,0.0330609
ENV-12,2,ECC,simulated_ENV-12.csv,ecc_encrypted_ENV-12.csv,2400,9,0.0374998,0.0369938,0.0375133,0.0377701,0.0379915,0.0375133
ENV-13,2,ECC,simulated_ENV-13.csv,ecc_encrypted_ENV-13.csv,3000,9,0.0453,0.0449067,0.0452608,0.0460145,0.0449789,0.0452608
ENV-14,2,ECC,simulated_ENV-14.csv,ecc_encrypted_ENV-14.csv,2000,9,0.0316918,0.0315676,0.0319929,0.0319147,0.0315686,0.0316918
ENV-15,2,ECC,simulated_ENV-15.csv,ecc_encrypted_ENV-15.csv,3000,9,0.0594618,0.0458797,0.0459669,0.0462523,0.0468302,0.0462523
ENV-16,2,ECC,simulated_ENV-16.csv,ecc_encrypted_ENV-16.csv,2400,9,0.0366284,0.0366812,0.0365472,0.0371492,0.0370816,0.0366812
ENV-17,2,ECC,simulated_ENV-17.csv,ecc_encrypted_ENV-17.csv,2800,9,0.0428048,0.0426774,0.0428984,0.0431018,0.0429229,0.0428984
ENV-18,2,ECC,simulated_ENV-18.csv,ecc_encrypted_ENV-18.csv,2600,9,0.0399416,0.0400587,0.0403339,0.0402206,0.0403395,0.0402206
ENV-19,2,ECC,simulated_ENV-19.csv,ecc_encrypted_ENV-19.csv,2000,9,0.0310015,0.0312208,0.0314379,0.0315454,0.0303399,0.0312208
ENV-20,2,ECC,simulated_ENV-20.csv,ecc_encrypted_ENV-20.csv,3000,9,0.0452681,0.0458093,0.0453879,0.0456577,0.0460565,0.0456577
ENV-21,2,ECC,simulated_ENV-21.csv,ecc_encrypted_ENV-21.csv,6000,9,0.0872955,0.0876612,0.0883601,0.08833,0.0879848,0.0879848
ENV-22,2,ECC,simulated_ENV-22.csv,ecc_encrypted_ENV-22.csv,8000,9,0.1162533,0.114282,0.1170083,0.118775,0.1161973,0.1162533
ENV-23,2,ECC,simulated_ENV-23.csv,ecc_encrypted_ENV-23.csv,7000,9,0.1014734,0.100777,0.1014155,0.1034025,0.1035748,0.1014734
ENV-24,2,ECC,simulated_ENV-24.csv,ecc_encrypted_ENV-24.csv,9000,9,0.1306815,0.130517,0.1306218,0.1322027,0.1324241,0.1306815
ENV-25,2,ECC,simulated_ENV-25.csv,ecc_encrypted_ENV-25.csv,10000,9,0.1423885,0.1438002,0.1453959,0.146399,0.1444019,0.1444019
