environment_id,encryption_code,encryption_type,source_file,output_file,row_count,column_count,run_1_sec,run_2_sec,run_3_sec,run_4_sec,run_5_sec,simulated_encryption_time_sec,median_run_number,median_rsa_keygen_time_sec,median_homomorphic_setup_time_sec,median_rsa_stage_time_sec,median_homomorphic_layer_time_sec,median_evaluation_time_sec,median_structure_time_sec
ENV-26,3,RSA-SHE,simulated_ENV-26.csv,rsa_she_encrypted_ENV-26.csv,6000,9,16.8161144,16.5334849,16.0622904,16.0018867,15.8259151,16.0622904,3,0.0454403,0.003043,6.6668038,9.13208,0.2097314,0.0034286
ENV-27,3,RSA-SHE,simulated_ENV-27.csv,rsa_she_encrypted_ENV-27.csv,7000,9,19.6091453,18.8467369,17.8503078,18.5192911,17.5864827,18.5192911,4,0.0188805,0.0030408,7.7715412,10.4728455,0.2470835,0.0036655
ENV-28,3,RSA-SHE,simulated_ENV-28.csv,rsa_she_encrypted_ENV-28.csv,8000,9,21.4451273,20.7859809,20.7088579,21.4310703,20.4179181,20.7859809,2,0.0233955,0.0030226,8.7539517,11.722663,0.276909,0.0043168
ENV-29,3,RSA-SHE,simulated_ENV-29.csv,rsa_she_encrypted_ENV-29.csv,10000,9,27.0613954,25.2285805,26.2957777,26.8156355,25.0044292,26.2957777,3,0.0590892,0.0030479,10.9191203,14.9542717,0.3524089,0.005471
ENV-30,3,RSA-SHE,simulated_ENV-30.csv,rsa_she_encrypted_ENV-30.csv,12000,9,31.2833547,31.3607297,32.570228,32.892006,32.5248113,32.5248113,5,0.0196086,0.0030048,13.3884123,18.6710131,0.4320787,0.0066435
ENV-31,3,RSA-SHE,simulated_ENV-31.csv,rsa_she_encrypted_ENV-31.csv,14000,9,37.0301297,38.7155406,37.4835498,38.3889996,39.6848204,38.3889996,4,0.0431349,0.0030917,15.9613512,21.8452033,0.5119585,0.0133726
ENV-32,3,RSA-SHE,simulated_ENV-32.csv,rsa_she_encrypted_ENV-32.csv,16000,9,44.2779719,43.9305285,46.1305925,45.9445014,45.459907,45.459907,5,0.0435388,0.0035215,18.8803312,25.908739,0.6058688,0.0108246
ENV-33,3,RSA-SHE,simulated_ENV-33.csv,rsa_she_encrypted_ENV-33.csv,18000,9,49.9643552,51.5972784,49.8628386,49.6178326,50.6121558,49.9643552,1,0.0211775,0.0049248,20.7748524,28.4956952,0.6532494,0.0108875
ENV-34,3,RSA-SHE,simulated_ENV-34.csv,rsa_she_encrypted_ENV-34.csv,20000,9,57.1520729,57.9636101,55.3592357,54.2685105,51.0381032,55.3592357,3,0.0324023,0.0030463,23.3192973,31.3091675,0.678381,0.0115932
ENV-35,3,RSA-SHE,simulated_ENV-35.csv,rsa_she_encrypted_ENV-35.csv,12000,9,31.3617501,31.4277614,31.0970216,31.2810848,31.4864039,31.3617501,1,0.06697,0.0028237,12.967282,17.9120705,0.4039881,0.0064092
ENV-36,3,RSA-SHE,simulated_ENV-36.csv,rsa_she_encrypted_ENV-36.csv,8000,9,20.7926531,20.3624236,20.4144841,21.1015357,21.5145473,20.7926531,1,0.0201073,0.002926,8.6571628,11.8291424,0.2778972,0.0039567
ENV-37,3,RSA-SHE,simulated_ENV-37.csv,rsa_she_encrypted_ENV-37.csv,10000,9,26.5109643,25.9740616,27.3895015,26.3136776,25.9063472,26.3136776,4,0.0281845,0.0030578,11.1754298,14.7460141,0.3527787,0.0053205
ENV-38,3,RSA-SHE,simulated_ENV-38.csv,rsa_she_encrypted_ENV-38.csv,11000,9,29.6398949,30.2543335,30.8571536,31.071871,30.9868064,30.8571536,3,0.0288297,0.0036378,12.8538362,17.5569101,0.4038679,0.006788
ENV-39,3,RSA-SHE,simulated_ENV-39.csv,rsa_she_encrypted_ENV-39.csv,12000,9,33.4094324,34.3566672,34.5681394,33.309377,34.0880458,34.0880458,5,0.0246882,0.0030651,14.1786255,19.4112482,0.4592754,0.006917
ENV-40,3,RSA-SHE,simulated_ENV-40.csv,rsa_she_encrypted_ENV-40.csv,13000,9,37.5795745,35.7314715,36.826317,35.7589575,36.9653304,36.826317,3,0.0237522,0.0030928,15.3255007,20.9716521,0.4910753,0.0073079
