environment_id,encryption_code,encryption_type,source_file,output_file,row_count,column_count,run_1_sec,run_2_sec,run_3_sec,run_4_sec,run_5_sec,simulated_encryption_time_sec
ENV-01,1,Unencrypted,simulated_ENV-01.csv,unencrypted_ENV-01.csv,1000,9,0.0,0.0,0.0,0.0,0.0,0.0
ENV-02,1,Unencrypted,simulated_ENV-02.csv,unencrypted_ENV-02.csv,1000,9,0.0,0.0,0.0,0.0,0.0,0.0
ENV-03,1,Unencrypted,simulated_ENV-03.csv,unencrypted_ENV-03.csv,1000,9,0.0,0.0,0.0,0.0,0.0,0.0
ENV-04,1,Unencrypted,simulated_ENV-04.csv,unencrypted_ENV-04.csv,1000,9,0.0,0.0,0.0,0.0,0.0,0.0
ENV-05,1,Unencrypted,simulated_ENV-05.csv,unencrypted_ENV-05.csv,1000,9,0.0,0.0,0.0,0.0,0.0,0.0
ENV-06,1,Unencrypted,simulated_ENV-06.csv,unencrypted_ENV-06.csv,1000,9,0.0,0.0,0.0,0.0,0.0,0.0
ENV-07,1,Unencrypted,simulated_ENV-07.csv,unencrypted_ENV-07.csv,1000,9,0.0,0.0,0.0,0.0,0.0,0.0
ENV-08,1,Unencrypted,simulated_ENV-08.csv,unencrypted_ENV-08.csv,1000,9,0.0,0.0,0.0,0.0,0.0,0.0
ENV-09,1,Unencrypted,simulated_ENV-09.csv,unencrypted_ENV-09.csv,1000,9,0.0,0.0,0.0,0.0,0.0,0.0
ENV-10,1,Unencrypted,simulated_ENV-10.csv,unencrypted_ENV-10.csv,1000,9,0.0,0.0,0.0,0.0,0.0,0.0
